1	56 
2	5 44 55 
3	1 
4	56 
5	20 
6	30 
7	56 
8	17 
9	13 
10	34 52 55 
11	42 
12	53 
13	11 12 21 
14	46 
15	36 
16	23 
17	11 42 57 
18	8 
19	36 
20	31 
21	9 35 47 
22	43 
23	15 39 51 
24	47 
25	5 
26	51 
27	11 
28	29 
29	15 
30	11 
31	28 
32	31 
33	7 
34	2 
35	30 
36	49 
37	29 
38	36 
39	15 
40	25 
41	38 
42	1 12 54 
43	32 
44	36 
45	45 
46	7 
47	26 
48	26 48 49 
49	5 39 46 
50	15 
51	15 
52	55 
53	18 
54	36 
55	22 
56	28 
57	12 26 28 
58	8 42 51 
59	31 
60	50 
61	20 28 37 
62	18 
63	22 38 43 
64	33 
65	33 38 53 
66	11 21 34 
67	44 
68	39 40 52 
69	5 
70	54 
71	47 
72	4 25 54 
73	22 
74	33 
75	19 
76	22 
77	9 
78	34 
79	38 
80	26 
81	54 
82	13 
83	50 
84	8 
85	16 
86	4 
87	45 
88	25 39 57 
89	36 
90	8 
91	18 
92	2 
93	48 
94	43 
95	10 
96	32 
97	4 24 37 
98	3 48 55 
99	35 53 55 
100	27 
101	36 
102	40 
103	13 19 54 
104	47 
105	22 31 53 
106	7 
107	33 
108	11 
109	23 
110	21 
111	21 23 42 
112	35 
113	19 
114	35 
115	9 
116	4 
117	5 
118	1 53 55 
119	57 
120	31 
121	10 17 51 
122	15 
123	48 
124	56 
125	10 20 27 
126	55 
127	46 
128	44 50 57 
129	46 
130	12 
131	3 
132	2 14 25 
133	20 32 43 
134	10 21 52 
135	12 
136	6 
137	2 
138	1 
139	24 31 34 
140	40 
141	27 
142	21 33 54 
143	26 
144	15 
145	15 
146	43 
147	1 
148	3 45 52 
149	46 
150	27 
151	46 
152	14 
153	26 
154	47 
155	22 31 39 
156	53 
157	6 38 45 
158	4 
159	36 
160	4 
161	43 
162	40 
163	4 19 40 
164	25 
165	24 
166	12 
167	12 
168	47 
169	49 
170	34 37 57 
171	2 
172	38 
173	52 
174	54 
175	55 
176	54 
177	4 
178	53 
179	30 
180	26 
181	27 46 51 
182	17 
183	37 
184	12 
185	27 
186	2 19 35 
187	49 
188	14 
189	45 
190	48 
191	4 
192	17 
193	30 33 45 
194	43 
195	2 
196	31 
197	19 27 33 
198	23 
199	4 19 47 
200	40 
201	26 
202	35 
203	1 
204	22 
205	4 
206	15 
207	56 
208	2 
209	25 
210	48 
211	30 
212	30 48 52 
213	51 
214	55 
215	3 
216	17 
217	25 
218	33 
219	11 
220	13 
221	26 
222	28 37 43 
223	48 
224	17 
225	57 
226	38 
227	31 
228	10 
229	28 42 53 
230	5 
231	35 
232	11 
233	31 
234	19 35 48 
235	12 
236	20 
237	5 29 47 
238	17 
239	43 
240	16 
241	53 
242	1 37 38 
243	17 
244	20 41 47 
245	3 
246	9 15 40 
247	15 42 46 
248	23 
249	33 
250	14 
251	28 30 52 
252	6 
253	52 
254	13 
255	13 
256	46 47 57 
257	35 
258	1 4 23 
259	23 
260	1 
261	34 
262	24 
263	1 8 24 
264	2 5 44 
265	45 
266	55 
267	7 31 44 
268	12 
269	29 
270	57 
271	2 24 46 
272	31 
273	6 
274	17 
275	28 31 40 
276	47 49 56 
277	18 
278	51 
279	21 
280	12 
281	2 20 39 
282	4 
283	43 
284	4 42 53 
285	52 
286	27 
287	3 
288	8 11 53 
289	14 41 57 
290	21 
291	7 
292	10 
293	44 
294	27 33 48 
295	42 
296	5 
297	44 48 49 
298	44 
299	5 
300	30 
301	18 28 55 
302	18 
303	55 
304	30 
305	38 
306	40 
307	3 
308	29 
309	16 
310	8 
311	2 
312	48 
313	19 
314	48 
315	12 
316	13 28 42 
317	11 
318	15 
319	49 
320	7 12 51 
321	52 
322	13 
323	50 
324	10 
325	19 
326	16 
327	1 
328	26 
329	21 
330	8 
331	26 
332	30 
333	34 
334	31 40 48 
335	39 
336	52 
337	57 
338	49 
339	26 
340	20 
341	34 
342	31 
343	48 
344	27 
345	37 
346	2 12 27 
347	22 
348	23 
349	1 
350	52 
351	32 
352	1 
353	54 
354	10 
355	14 
356	27 
357	23 
358	8 
359	5 10 28 
360	4 
361	1 14 31 
362	29 
363	8 
364	34 
365	3 
366	1 
367	11 28 29 
368	55 
369	22 
370	11 
371	30 
372	17 
373	22 29 44 
374	29 
375	28 30 31 
376	49 
377	20 
378	32 
379	5 
380	19 
381	34 
382	44 
383	51 
384	12 
385	13 
386	57 
387	11 
388	11 
389	4 
390	54 
391	48 
392	52 
393	11 
394	16 27 57 
395	26 
396	32 
397	2 
398	23 
399	5 15 50 
400	4 8 46 
401	7 
402	48 
403	24 
404	23 
405	42 
406	40 
407	44 
408	13 43 55 
409	51 
410	38 
411	14 
412	21 
413	19 
414	29 
415	47 
416	31 
417	15 
418	20 
419	41 
420	8 
421	15 
422	1 
423	7 
424	18 42 53 
425	27 
426	28 
427	48 
428	53 
429	39 
430	8 
431	28 
432	34 
433	29 
434	34 
435	37 46 51 
436	34 
437	52 
438	1 
439	51 
440	3 
441	13 
442	19 40 43 
443	9 35 41 
444	6 30 31 
445	16 
446	54 
447	31 
448	13 24 29 
449	21 
450	5 12 18 
451	43 
452	3 
453	23 52 53 
454	39 
455	40 
456	49 50 51 
457	20 
458	32 
459	42 
460	4 
461	14 
462	51 
463	26 
464	35 
465	3 26 51 
466	23 31 45 
467	55 
468	12 
469	53 
470	41 
471	30 
472	17 
473	46 
474	11 
475	19 
476	9 
477	19 
478	19 33 40 
479	23 
480	32 
481	5 29 38 
482	42 
483	4 
484	1 
485	4 37 57 
486	1 
487	17 
488	50 
489	7 
490	43 
491	37 
492	48 
493	27 
494	20 
495	34 
496	14 18 37 
497	17 
498	1 33 45 
499	45 
500	18 
501	31 
502	20 
503	29 35 48 
504	20 
505	2 
506	47 
507	11 
508	30 50 51 
509	22 29 31 
510	18 52 56 
511	10 
512	8 21 30 
513	54 
514	8 33 35 
515	16 
516	7 17 47 
517	28 
518	19 
519	4 
520	6 
521	9 
522	3 4 24 
523	13 
524	11 
525	53 
526	29 
527	29 
528	16 
529	35 
530	30 
531	29 
532	3 28 53 
533	18 
534	48 
535	51 
536	32 
537	20 
538	35 
539	19 29 48 
540	38 
541	24 
542	43 
543	54 
544	57 
545	14 
546	38 41 55 
547	32 
548	51 
549	8 
550	39 
551	14 19 40 
552	54 
553	40 
554	17 
555	29 
556	43 
557	6 
558	29 
559	20 
560	52 
561	2 
562	26 
563	13 
564	54 
565	1 12 29 
566	37 
567	17 
568	57 
569	49 
570	15 
571	54 
572	53 
573	19 
574	44 
575	22 30 32 
576	3 
577	19 
578	29 
579	51 
580	41 
581	4 8 53 
582	39 
583	6 38 48 
584	55 
585	46 
586	57 
587	29 
588	35 
589	16 
590	11 30 42 
591	8 12 38 
592	34 
593	37 
594	1 
595	25 47 55 
596	5 
597	5 
598	2 
599	4 33 46 
600	55 
601	31 
602	49 
603	27 
604	28 35 54 
605	17 
606	1 
607	38 
608	13 
609	11 
610	26 29 51 
611	46 
612	2 
613	46 
614	23 33 35 
615	52 
616	47 
617	49 
618	29 
619	9 
620	24 38 52 
621	31 
622	14 23 40 
623	42 
624	2 
625	53 
626	10 
627	57 
628	19 
629	20 
630	1 20 48 
631	48 
632	3 
633	46 
634	4 24 33 
635	17 
636	5 20 38 
637	18 
638	47 
639	24 
640	2 
641	35 
642	42 48 53 
643	5 
644	2 
645	49 
646	21 35 38 
647	20 25 44 
648	16 
649	10 
650	17 
651	23 
652	48 
653	10 
654	13 
655	55 
656	20 
657	10 
658	1 
659	44 
660	9 
661	35 
662	40 
663	14 
664	33 
665	12 15 19 
666	45 48 52 
667	25 26 42 
668	18 35 47 
669	23 38 54 
670	30 
671	5 
672	17 
673	42 
674	4 13 33 
675	23 34 35 
676	39 
677	16 
678	3 12 30 
