1	187	3.05005
1	339	3.13861
1	355	3.2005
1	451	3.48862
1	460	3.38182
1	503	3.32481
1	524	3.50469
1	558	3.59824
1	571	3.42404
1	572	3.62754
1	589	3.67338
1	633	0
2	288	3.07
2	352	3.16978
2	436	2.8441
2	438	3.32842
2	525	3.43416
2	549	3.4241
2	567	3.72472
2	609	3.7068
2	650	3.53987
2	660	3.52447
2	671	3.42213
2	676	0
3	111	3.27442
3	223	4.79015
3	287	3.39569
3	394	3.99543
3	442	3.62932
3	450	0.00190902
3	465	3.99073
3	581	3.88907
3	621	3.92601
3	656	3.99564
3	659	4.39366
3	700	0
4	17	3.61337
4	316	3.47512
4	357	2.87522
4	363	3.83126
4	446	3.85815
4	476	4.197
4	481	4.03226
4	505	3.94256
4	506	3.88512
4	565	1.25168
4	571	4.26557
4	612	0
5	48	3.0142
5	243	3.39903
5	244	0.696478
5	279	3.98879
5	297	3.66493
5	347	3.99559
5	490	3.87056
5	497	4.25806
5	587	4.00129
5	657	4.03337
5	665	4.18382
5	697	0
6	165	4.22866
6	182	3.03634
6	234	3.23897
6	335	3.30094
6	458	3.65916
6	498	3.78136
6	541	3.60986
6	551	3.50169
6	564	3.3744
6	566	3.48863
6	570	3.49996
6	575	0
7	63	3.11953
7	104	2.69116
7	112	3.11953
7	216	3.55887
7	311	3.45894
7	319	3.62984
7	379	3.66179
7	388	3.75195
7	405	4.72757
7	422	3.75195
7	433	3.97759
7	444	0
8	86	3.06992
8	256	2.84194
8	268	2.96815
8	287	3.51241
8	426	3.42737
8	502	3.45053
8	600	3.70923
8	605	3.76054
8	634	3.52042
8	636	3.46847
8	669	3.68332
8	681	0
9	50	3.02588
9	110	2.76134
9	194	3.3397
9	207	3.43205
9	258	3.3267
9	295	3.7318
9	360	3.54394
9	425	4.05392
9	465	3.79692
9	503	3.86488
9	513	3.74017
9	517	0
10	34	3.32058
10	72	3.32058
10	89	3.65631
10	201	1.98903
10	228	3.61924
10	239	4.04675
10	269	4.13626
10	283	4.15907
10	307	4.15907
10	308	4.1825
10	332	5.04277
10	608	0
11	14	2.6429
11	16	2.68836
11	32	3.172
11	64	3.34338
11	65	3.49939
11	74	3.172
11	80	3.172
11	87	3.58082
11	95	6.4
11	109	0
12	198	3.2301
12	208	3.59133
