W_N1100_Om3_On220_2,Demon_NMI,0.738517
W_N1100_Om3_On220_2,Demon_Omega-Index,0.414286051370901
W_N1100_Om3_On220_2,Demon_number-of-communities,60
W_N1100_Om3_On220_2,Oslom_NMI,0.965253
W_N1100_Om3_On220_2,Oslom_Omega-Index,0.9626285284341682
W_N1100_Om3_On220_2,Oslom_number-of-communities,55
W_N1100_Om3_On220_2,O-HAMUHI_NMI,0.75074
W_N1100_Om3_On220_2,O-HAMUHI_Omega-Index,0.6391331231413047
W_N1100_Om3_On220_2,O-HAMUHI_number-of-communities,56
W_N1100_Om3_On220_2,ground-truth_number-of-communities,55
UW_N300_Om3_On60_1,Demon_NMI,0.0958367
UW_N300_Om3_On60_1,Demon_Omega-Index,-0.0009640850124140295
UW_N300_Om3_On60_1,Demon_number-of-communities,16
UW_N300_Om3_On60_1,Oslom_NMI,0.720102
UW_N300_Om3_On60_1,Oslom_Omega-Index,0.6101228556964039
UW_N300_Om3_On60_1,Oslom_number-of-communities,15
UW_N300_Om3_On60_1,O-HAMUHI_NMI,0.690742
UW_N300_Om3_On60_1,O-HAMUHI_Omega-Index,0.5697816169223995
UW_N300_Om3_On60_1,O-HAMUHI_number-of-communities,16
UW_N300_Om3_On60_1,ground-truth_number-of-communities,15
UW_N700_Om5_On140_4,Demon_NMI,0.132932
UW_N700_Om5_On140_4,Demon_Omega-Index,0.021334754789438286
UW_N700_Om5_On140_4,Demon_number-of-communities,42
UW_N700_Om5_On140_4,Oslom_NMI,0.609851
UW_N700_Om5_On140_4,Oslom_Omega-Index,0.4950412106931997
UW_N700_Om5_On140_4,Oslom_number-of-communities,42
UW_N700_Om5_On140_4,O-HAMUHI_NMI,0.569789
UW_N700_Om5_On140_4,O-HAMUHI_Omega-Index,0.42827858572038296
UW_N700_Om5_On140_4,O-HAMUHI_number-of-communities,46
UW_N700_Om5_On140_4,ground-truth_number-of-communities,44
UW_N700_Om1_On140_2,Demon_NMI,0.432791
UW_N700_Om1_On140_2,Demon_Omega-Index,0.03650580788521376
UW_N700_Om1_On140_2,Demon_number-of-communities,25
UW_N700_Om1_On140_2,Oslom_NMI,1.0
UW_N700_Om1_On140_2,Oslom_Omega-Index,1.0
UW_N700_Om1_On140_2,Oslom_number-of-communities,23
UW_N700_Om1_On140_2,O-HAMUHI_NMI,0.836088
UW_N700_Om1_On140_2,O-HAMUHI_Omega-Index,0.8949572298248764
UW_N700_Om1_On140_2,O-HAMUHI_number-of-communities,30
UW_N700_Om1_On140_2,ground-truth_number-of-communities,23
W_N700_Om3_On70_1,Demon_NMI,0.815536
W_N700_Om3_On70_1,Demon_Omega-Index,0.5366767847123154
W_N700_Om3_On70_1,Demon_number-of-communities,30
W_N700_Om3_On70_1,Oslom_NMI,0.964936
W_N700_Om3_On70_1,Oslom_Omega-Index,0.9750213099681743
W_N700_Om3_On70_1,Oslom_number-of-communities,28
